,Smiles,Name,Predicted
0,Nn1c(SCC(=O)Nc2cc(Cl)ccc2Cl)nnc1c3ccccc3,STOCK4S-00001,0
1,CCC[C@H](C)n1nc(O)c2[C@@H](SCC(=O)Nc12)c3ccc(OCC=C)cc3,STOCK4S-00003,0
3,Nc1c(C(=O)NCC=C)c2nc3ccccc3nc2n1\N=C\c4occc4,STOCK4S-00008,0
10,Nc1c(C(=O)NCCCc2ccccc2)c3nc4ccccc4nc3n1\N=C\c5cccnc5,STOCK4S-00019,0
11,Fc1ccc(cc1)c2nc3S\C(=C\4/C(=O)N(CC=C)c5ccc(Br)cc45)\C(=O)n3n2,STOCK4S-00021,0
13,Cc1ccccc1CSc2oc(CCNC(=O)OC(C)(C)C)nn2,STOCK4S-00024,0
14,CCn1c2ccccc2c3cc(NC(=O)CSc4nnc(c5ccncc5)n4N)ccc13,STOCK4S-00025,0
17,Cc1nnc(S\C(=C\c2oc(cc2)c3ccc(Br)cc3)\C(=O)O)[nH]1,STOCK4S-00034,0
21,CN1C(=O)N(C)c2nc(N3CCCC3)n(CCSc4oc5ccccc5n4)c2C1=O,STOCK4S-00043,0
22,CN1C(=O)N(C)C2=C(C1=O)[C@@](NC(=O)c3ccc(Cl)cc3)(C(=O)N2)C(F)(F)F,STOCK4S-00047,0
28,CCn1c(SCC(=O)Nc2cc(Cl)cc(Cl)c2)nnc1c3cnccn3,STOCK4S-00056,0
30,Cc1ccc(NC(=O)CSc2nnc(c3ccncc3)n2CC=C)c(Br)c1,STOCK4S-00063,0
35,CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)N\N=C\c1ccc2ncccc2c1,STOCK4S-00070,0
39,CN1C(=O)N(C)c2nc(CN3CCCCC3)n(CCc4ccccc4)c2C1=O,STOCK4S-00078,0
40,CC(C)CCNC(=O)c1c(N)n(\N=C\c2ccccc2)c3nc4ccccc4nc13,STOCK4S-00082,0
41,CC1=C(C#N)[C@@](Nc2cc(C)ccn2)(C(=O)N1)C(F)(F)F,STOCK4S-00084,0
49,COc1ccc(NC(=O)C)cc1NC(=O)CSc2nnc(c3ccccc3F)n2N,STOCK4S-00097,0
